NomFAS,Risk,Situation,PreventiveMeasure
Vehicle hoist,General risks,Completing the task,Comply with applicable safety measures
Vehicle hoist,General risks,Completing the task,Train workers on the task and its risks
Washing and storing dishes,General risks,Completing the task,Comply with applicable safety measures
Washing and storing dishes,Cuts with a knife blade,Completing the task,Comply with applicable safety measures
Washing and storing dishes,General risks,Completing the task,Train workers on tasks and risks
Washing and storing dishes,Cuts with a knife blade,Completing the task,Train workers on tasks and risks
Washing and storing dishes,General risks,Completing the task,Wear the personal protective equipment required by the employer
Washing and storing dishes,Cuts with a knife blade,Completing the task,Wear the personal protective equipment required by the employer
Washing and storing dishes,Cuts with broken dishes,Handling broken dishes,Replace the hazardous product with a non-hazardous one
Washing and storing dishes,Contact with hazardous materials,Handling broken dishes,Replace the hazardous product with a non-hazardous one
Washing and storing dishes,General risks,Completing the task,"Place knives, blade down, in a special container inside the dishwasher or in a separate container when washing by hand"
Washing and storing dishes,Cuts with a knife blade,Completing the task,"Place knives, blade down, in a special container inside the dishwasher or in a separate container when washing by hand"
Washing and storing dishes,General risks,Completing the task,Store knives in the container provided for this purpose
Washing and storing dishes,Cuts with a knife blade,Completing the task,Store knives in the container provided for this purpose
Washing and storing dishes,Cuts with broken dishes,Handling broken dishes,Use a broom and a dustpan to pick up broken pieces
Washing and storing dishes,Contact with hazardous materials,Handling broken dishes,Use a broom and a dustpan to pick up broken pieces
Washing and storing dishes,Cuts with broken dishes,Handling broken dishes,"Place the broken pieces or glass in a rigid container (e.g., plastic pail) provided for this purpose"
Washing and storing dishes,Contact with hazardous materials,Handling broken dishes,"Place the broken pieces or glass in a rigid container (e.g., plastic pail) provided for this purpose"
Washing and storing dishes,Cuts with broken dishes,Handling broken dishes,Consult the product’s safety data sheet (SDS) for additional information
Washing and storing dishes,Contact with hazardous materials,Handling broken dishes,Consult the product’s safety data sheet (SDS) for additional information
Washing and storing dishes,Cuts with broken dishes,Handling broken dishes,Follow the dosage recommended by the manufacturer and label the containers of decanted products
Washing and storing dishes,Contact with hazardous materials,Handling broken dishes,Follow the dosage recommended by the manufacturer and label the containers of decanted products
Washing and storing dishes,Tripping,Wet floor,Use a non-slip mat
Washing and storing dishes,Tripping,Objects on the floor,Keep the workspace clean and unobstructed
Washing and storing dishes,Tripping,Objects on the floor,"Repair and clean the floor: uneven surfaces, holes, slippery floors, etc."
Washing and storing dishes,Burns,"Contact with hot water, steam and hot dishes",Leave the dishwasher closed while running
Washing and storing dishes,Burns,"Contact with hot water, steam and hot dishes",Let the dishwasher cool down before putting hands inside
Washing and storing dishes,Burns,"Contact with hot water, steam and hot dishes",Wear appropriate gloves when handling hot and wet items
Washing and storing dishes,Falling objects,Handling and storing dishes,Use stable shelves
Washing and storing dishes,Falling objects,Handling and storing dishes,Use a trolley to move dishes
Washing and storing dishes,Falling objects,Handling and storing dishes,Limit the number of dishes moved
Working alone or at night,Heat exposure,Performing non-standard tasks in extreme hot weather,Take a break when tired
Working alone or at night,Assault,Contact with wild animals,"Carry a functioning communication device (CB Radio, cell phone, satellite phone, satellite monitoring, etc.)"
Working alone or at night,Assault,Physical contact with an individual,Set up visual surveillance (patrols)
Working alone or at night,Assault,Performing a dangerous task outside of normal working hours,Keep regular contact with the employee who is working alone
Working alone or at night,Assault,Performing a dangerous task outside of normal working hours,Reschedule so that dangerous tasks are performed when a a colleague may be available to intervene
Working alone or at night,Allergic reaction,Contact with wasps or other insects,Follow first-aid training in the workplace and keep a first-aid kit that meets requirements nearby
Working alone or at night,Allergic reaction,Contact with wasps or other insects,Carry an EpiPen case
Working alone or at night,Allergic reaction,Contact with wasps or other insects,Inform your employer of your allergies and allergic reactions
Working alone or at night,Exposure to extreme cold,Performing non-standard tasks in extreme cold weather,"Provide your employer with your destination, the estimated times of arrival and departure, and the contact info of your place of accommodation"
Working alone or at night,Exposure to extreme cold,Performing non-standard tasks in extreme cold weather,Carry a functioning communication device
Working alone or at night,Exposure to extreme cold,Performing non-standard tasks in extreme cold weather,Carry a first-aid kit
Working alone or at night,Heat exposure,Performing non-standard tasks in extreme hot weather,Inform your employer of your movements
Working alone or at night,Heat exposure,Performing non-standard tasks in extreme hot weather,Inform your employer of your specific medical conditions
Working alone or at night,Heat exposure,Performing non-standard tasks in extreme hot weather,Drink water frequently
Working alone or at night,Heat exposure,Performing non-standard tasks in extreme hot weather,Reduce the workload
Working alone or at night,Heat exposure,Performing non-standard tasks in extreme hot weather,Reschedule so that dangerous tasks are performed during cooler hours
Working alone or at night,General risks,Performing a task alone or at night,Train workers on the task and its risks
Working alone or at night,General risks,Performing a task alone or at night,Comply with applicable safety measures
Working at heights,General risks,Completing the task,Comply with applicable safety measures
Working at heights,General risks,Completing the task,Train workers on tasks and risks
Working at heights,Falling from a height,Working at heights,Establish a security perimeter around the area where the work at heights is being performed
Working at heights,Falling from a height,Working at heights,"Set up guard rails near empty spaces (mezzanine, platform, stairs, ramp, roof, floor openings, etc.)"
Working at heights,Falling from a height,Working at heights,"Wear a full-body fall arrest device in the absence of any other fall prevention system when working at over 3-metre height. The fall arrest device includes: - Anchorage - Connectors with lanyard (energy-absorbing lanyard, self-retracting lifeline, etc.) - Safety harness"
Working at heights,Falling from a height,Working at heights,Inspect visually the fall arrest device before starting work and think up a rescue plan
Working at heights,Falling from a height,Working at heights,"Store the harness in a dry and well-ventilated place and away from heat, sunlight and corrosive fumes."
Working at heights,Falling from a height,Working at heights,"Dispose of any device which has already been used during a fall (harness, lanyard, anchorage, etc.), even if it doesn’t look damaged"
Working at heights,Contact with an electrical source,Working close to electrical lines,"Respect the minimum working distances to electrical lines, as recommended by Hydro-Québec < 125kV: 3m (10ft) 125-250kV: 5m (17ft) 250-550kV: 8m (27ft)"
Working at heights,Falling from a height,Working at heights,Implement techniques which reduce working at heights
Workplace maintenance,Contact with a chemicals,Product spill,Attend the MANDATORY WHMIS-specific training
Workplace maintenance,General risks,Completing the task,Train workers on tasks and risks
Workplace maintenance,Being struck by equipment or materials,Storage,Store materials in a stable manner
Workplace maintenance,General risks,Completing the task,Comply with applicable safety measures
Workplace maintenance,Contact with a chemicals,Product spill,Use containers equipped with a pouring spout and close them after use
Workplace maintenance,Contact with a chemicals,Product spill,Replace the hazardous product with a non-hazardous one
Workplace maintenance,Contact with a chemicals,Product spill,Make sure eyewash fountains are working properly
Workplace maintenance,Tripping,Presence of bulky objects or slippery/oily substances,"Keep emergency exits, electrical panels and traffic areas unobstructed and clear at all times"
Workplace maintenance,Tripping,Presence of bulky objects or slippery/oily substances,Keep workspaces clean and unobstructed
Workplace maintenance,Tripping,Presence of bulky objects or slippery/oily substances,Clean spills with absorbent materials and discard in containers provided for that purpose
Workplace maintenance,Contact with a chemicals,Product spill,Clean spills with absorbent materials and discard in containers provided for that purpose
Workplace maintenance,Awkward postures,Cleaning working area and handling loads,Keep a proper posture and avoid twisting while lifting
Workplace maintenance,Awkward postures,Cleaning working area and handling loads,Use lifting devices to minimize effort
Workplace maintenance,Contact with a chemicals,Product spill,Wear chemical-resistant gloves
Workplace maintenance,Contact with a chemicals,Product spill,Wear safety goggles
Workplace maintenance,General risks,Completing the task,Wear the personal protective equipment required by the employer
Workplace maintenance,Contact with a chemicals,Product spill,Consult the product’s safety data sheet for additional information
Young and new workers,General risks,Completing the task,Wear the personal protective equipment required by the employer
Young and new workers,General risks,Completing the task,Comply with applicable safety measures
Young and new workers,General risks,Completing the task,Train workers on tasks and risks
Young and new workers,General risks,Completing the task,"Develop an onboarding program for new workers, including a review of policies and security rules"
Young and new workers,General risks,Completing the task,Check the emergency measures plan and learn the location of the emergency equipment
Young and new workers,General risks,Completing the task,Ask questions if unsure of anything and do not take chances while trying to impress
Young and new workers,General risks,Completing the task,Report any dangerous situation you encounter
Young and new workers,General risks,Completing the task,Inform the supervisor immediately in case of an accident
Young and new workers,General risks,Completing the task,Refuse to complete a dangerous task and inform the supervisor of the reason
